Id,Note,Content,UseTime,CircleCount,OpponentList,GameLevelModel,SceneType,RoadModelName,RoadPointID
1,第1关,101|102|103|102|102|103,80,2,101|402|301|201|501,LimitTime,dibiao_city1,lu_lu1,1
2,第2关,201|202|203|202|202|203,1,2,101|202|302|401|501,Rank,dibiao_caopi2,lu_lu2,2
3,第3关,301|302|303|301|302|303,1,2,101|203|303|402|501,Rank,dibiao_shamo3,lu_lu3,3
4,第4关,401|402|401|402,15,2,105|202|301|401|501,Weedout,dibiao_city4,lu_lu4,4
5,第5关,501|502|503|501|502|503,120,2,101|201|303|402|501,LimitTime,dibiao_caopi5,lu_lu5,5
6,第6关,601|602|603|601|602|603,135,2,102|202|304|403|502,LimitTime,dibiao_city6,lu_lu6,6
7,第7关,701|702|703|701|702|703,1,2,102|204|301|403|502,Rank,dibiao_caopi7,lu_lu7,7
8,第8关,801|802|803|801|802|803,15,3,105|203|302|401|501,Weedout,dibiao_city8,lu_lu8,8
9,第9关,901|902|903|901|902|903,1,2,104|204|304|404|502,Rank,dibiao_caopi9,lu_lu9,9
10,第10关,1001|1002|1003|1004|1001|1002|1003|1004,1,2,105|501|401|301|201,DualMeet,dibiao_shamo10,lu_lu10,10
11,第11关,1101|1102|1103|1104|1101|1102|1103|1104,140,2,101|204|304|401|501,LimitTime,dibiao_city6,lu_lu6,6
12,第12关,1201|1202|1203|1204|1201|1202|1203|1204,1,2,101|203|301|404|501,Rank,dibiao_caopi7,lu_lu7,7
13,第13关,1301|1302|1303|1304|1301|1302|1303|1304,160,3,101|203|304|404|501,LimitTime,dibiao_caopi10,lu_lu10,10
14,第14关,1401|1402|1403|1404|1401|1402|1403|1404,20,2,105|204|303|402|501,Weedout,dibiao_shamo5,lu_lu5,5
15,第15关,1501|1502|1503|1504|1501|1502|1503|1504,1,2,102|204|301|403|502,DualMeet,dibiao_caopi10,lu_lu10,10
16,第16关,1601|1602|1603|1604|1601|1602|1603|1604,25,3,104|204|303|403|502,Weedout,dibiao_city8,lu_lu8,8
17,第17关,1701|1702|1703|1704|1701|1702|1703|1704,1,2,104|204|304|404|502,Rank,dibiao_shamo4,lu_lu4,4
18,第18关,1801|1802|1803|1804|1801|1802|1803|1804,20,3,105|205|303|402|501,Weedout,dibiao_caopi6,lu_lu6,6
19,第19关,1901|1902|1903|1904|1901|1902|1903|1904,100,2,104|204|305|404|503,LimitTime,dibiao_caopi7,lu_lu7,7
20,第20关,2001|2002|2003|2004|2001|2002|2003|2004,1,2,105|502|402|302|202,DualMeet,dibiao_caopi8,lu_lu8,8
21,第21关,2101|2102|2103|2104|2101|2102|2103|2104,1,2,105|204|304|401|503,Rank,dibiao_caopi7,lu_lu7,7
22,第22关,2201|2202|2203|2201|2202|2203|2201|2202|2203,15,3,105|205|304|402|501,Weedout,dibiao_city3,lu_lu3,3
23,第23关,2301|2302|2303|2304|2301|2302|2303|2304,1,2,105|204|304|404|504,Rank,dibiao_shamo4,lu_lu4,4
24,第24关,2401|2402|2403|2404|2401|2402|2403|2404,150,3,105|204|304|405|504,LimitTime,dibiao_shamo5,lu_lu5,5
25,第25关,2501|2502|2503|2504|2501|2502|2503|2504,1,2,105|503|403|303|203,DualMeet,dibiao_caopi6,lu_lu6,6
26,第26关,2601|2602|2603|2604|2601|2602|2603|2604,20,2,105|205|304|403|501,Weedout,dibiao_caopi8,lu_lu8,8
27,第27关,2701|2702|2703|2701|2702|2703,80,2,105|205|305|405|503,LimitTime,dibiao_shamo3,lu_lu3,3
28,第28关,2801|2802|2803|2804|2801|2802|2803|2804,20,3,105|205|304|403|502,Weedout,dibiao_caopi8,lu_lu8,8
29,第29关,2901|2902|2903|2904|2901|2902|2903|2904,1,3,105|205|305|405|505,Rank,dibiao_caopi5,lu_lu5,5
30,第30关,3001|3002|3003|3004|3005|3001|3002|3003|3004|3005,1,2,105|504|404|304|204,DualMeet,dibiao_caopi9,lu_lu9,9
31,第31关,3101|3102|3103|3101|3102|3103,70,2,105|205|305|405|505,LimitTime,dibiao_shamo7,lu_lu7,7
32,第32关,3201|3202|3203|3204|3205|3201|3202|3203|3204|3205,1,3,105|205|305|405|505,Rank,dibiao_city6,lu_lu6,6
33,第33关,3301|3302|3303|3304|3305|3301|3302|3303|3304|3305,15,2,105|205|305|405|505,Weedout,dibiao_caopi10,lu_lu10,10
34,第34关,3401|3402|3403|3404|3405|3401|3402|3403|3404|3405,1,3,105|205|305|405|505,Rank,dibiao_city4,lu_lu4,4
35,第35关,3501|3502|3503|3504|3505|3501|3502|3503|3504|3505,1,2,105|505|405|305|205,DualMeet,dibiao_shamo6,lu_lu6,6
36,第36关,3601|3602|3603|3604|3605|3601|3602|3603|3604|3605,20,2,105|205|305|405|505,Weedout,dibiao_caopi9,lu_lu9,9
37,第37关,3701|3702|3703|3704|3705|3701|3702|3703|3704|3705,160,3,105|205|305|405|505,LimitTime,dibiao_caopi9,lu_lu9,9
38,第38关,3801|3802|3803|3804|3805|3801|3802|3803|3804|3805,18,2,105|205|305|405|505,Weedout,dibiao_shamo5,lu_lu5,5
39,第39关,3901|3902|3903|3904|3905|3901|3902|3903|3904|3905,1,2,105|205|305|405|505,Rank,dibiao_city8,lu_lu8,8
40,第40关,4001|4002|4003|4004|4005|4001|4002|4003|4004|4005,1,2,105|505|405|305|205,DualMeet,dibiao_caopi9,lu_lu9,9